Main Voice,Main Volume,Main Octave,Main Reverb Level,Main Chorus Level,Dual Voice,Dual Volume,Dual Octave,Dual Reverb Level,Dual Chorus Level
1,110,0,20,0,54,36,0,50,0
2,127,0,20,0,54,32,0,40,0
3,100,0,20,0,108,70,0,36,0
4,100,0,18,0,54,40,0,32,0
5,90,0,18,0,4,70,1,18,0
6,68,0,20,32,9,60,0,30,70
7,88,0,20,30,6,64,0,20,60
8,82,0,26,6,54,56,0,50,0
9,100,0,24,36,138,76,0,24,0
10,96,0,24,36,9,58,0,24,40
11,96,0,24,36,13,54,0,24,0
12,74,0,16,20,3,70,0,18,70
13,80,0,22,36,3,80,0,22,0
14,92,0,28,30,108,76,0,28,0
15,82,0,30,38,104,66,0,40,32
16,125,-1,16,0,106,46,-1,20,90
17,102,-1,16,0,42,50,-1,20,90
18,58,-1,28,0,26,36,0,28,36
19,62,-1,28,36,19,34,0,28,36
20,80,-1,28,0,19,46,0,28,20
21,76,-1,28,40,19,32,0,28,0
22,62,-1,28,24,8,24,0,28,0
23,70,-1,28,48,24,40,0,28,0
24,54,-1,28,0,23,30,0,36,50
25,70,-1,28,34,26,30,1,28,0
26,64,-1,28,34,25,38,0,32,30
27,78,-1,28,0,116,60,0,30,0
28,70,0,40,0,67,62,0,70,0
29,70,0,32,0,68,60,0,50,0
30,76,0,24,20,32,60,0,32,50
31,106,0,22,0,32,64,-1,22,40
32,86,0,22,0,54,70,0,60,0
33,94,-1,22,0,32,70,0,22,0
34,92,0,26,0,54,70,0,50,0
35,92,-1,32,0,54,44,-1,70,0
36,100,-1,28,0,54,44,-1,70,0
37,78,-1,26,24,54,44,-1,50,0
38,120,-1,24,0,94,62,0,40,0
39,92,-1,24,0,41,90,-1,32,20
40,79,-1,30,20,41,48,-1,38,60
41,98,-1,32,30,42,60,-1,38,50
42,70,-1,32,20,47,80,-1,18,40
43,82,-1,36,64,102,80,-1,36,90
44,86,-1,34,80,102,64,-1,34,100
45,94,-1,8,0,42,64,-1,28,0
46,104,-1,8,0,42,64,-1,30,40
47,90,-1,8,0,42,70,-1,28,60
48,88,-1,8,12,38,90,-1,24,30
49,98,-1,8,0,40,60,-1,24,70
50,85,-1,8,12,106,62,-1,20,60
51,92,-1,8,0,106,58,-1,20,80
