Chord Name,Abbreviation,Normal Voicing,Display,*,Hex Type
Major,M,1 - 3 - 5,C,,00
Add ninth,(9),1 - 2 - 3 - 5,C9,,04
Sixth,6,1 - (3) - 5 - 6,C6,,01
Sixth ninth,6(9),1 - 2 - 3 - (5) - 6,C6^9,*,06
Major seventh,M7,1 - 3 - (5) - 7 or 1 - (3) - 5 - 7,CM7,,02
Major seventh ninth,M7(9),1 - 2 - 3 - (5) - 7,Cm7^9,*,05
Major seventh add sharp eleventh,M7(♯11),1 - (2) - 3 - ♯4 - 5 - 7 or 1 - 2 - 3 - ♯4 - (5) - 7,CM7^♯11,*,03
Flatted fifth,(♭5),1 - 3 - b5,C^♭5,*,24
Major seventh flatted fifth,M7♭5,1 - 3 - ♭5 - 7,Cm7^♭5,*,23
Suspended fourth,sus4,1 - 4 - 5,Csus4,,20
Augmented,aug,1 - 3 - ♯5,Caug,,07
Major seventh augmented,M7aug,1 - (3) - ♯5 - 7,CM7aug,*,1C
Minor,m,1 - ♭3 - 5,Cm,,08
Minor add ninth,m(9),1 - 2 - ♭3 - 5,Cm9,,0C
Minor sixth,m6,1 - ♭3 - 5 - 6,Cm6,,09
Minor seventh,m7,1 - ♭3 - (5) - ♭7,Cm7,,0A
Minor seventh ninth,m7(9),1 - 2 - ♭3 - (5) - ♭7,Cm7^9,,0D
Minor seventh add eleventh,m7(11),1 - (2) - ♭3 - 4 - 5 - (♭ 7),Cm7^11,*,0E
Minor major seventh,mM7,1 - ♭3 - (5) - 7,CmM7,,0F
Minor major seventh ninth,mM7(9),1 - 2 - ♭3 - (5) - 7,CmM7^9,*,10
Minor seventh flatted fifth,m7♭5,1 - ♭3 - ♭5 - ♭7,Cm7^♭5,,0B
Minor major seventh flatted fifth,mM7♭5,1 - ♭3 - ♭5 - 7,CmM7^♭5,*,25
Diminished,dim,1 - ♭3 - ♭5,Cdim,,11
Diminished seventh,dim7,1 - ♭3 - ♭5 - 6,Cdim7,,12
Seventh,7,1 - 3 - (5) - ♭7 or 1 - (3) - 5 - ♭7,C7,,13
Seventh flatted ninth,7(♭9),1 - ♭2 - 3 - (5) - ♭7,C7^♭9,,19
Seventh add flatted thirteenth,7(♭13),1 - 3 - 5 - ♭6 - ♭7,C7^♭13,,1A
Seventh ninth,7(9),1 - 2 - 3 - (5) - ♭7,C7^9,,16
Seventh add sharp eleventh,7(♯11),1 - (2) - 3 - ♯4 - 5 - ♭7 or 1 - 2 - 3 - ♯4 - (5) - ♭7,C7^♯11,,17
Seventh add thirteenth,7(13),1 - 3 - (5) - 6 - ♭7,C7^13,,18
Seventh sharp ninth,7(♯9),1 -  ♯2 - 3 - (5) - ♭7,C7^♯9,,1B
Seventh flatted fifth,7♭5,1 - 3 - ♭5 - ♭7,C7^♭5,*,15
Seventh augmented,7aug,1 - 3 - ♯5 - ♭7,C7aug,,1D
Seventh suspended fourth,7sus4,1 - 4 - (5) - ♭7,C7sus4,,14
Suspended second,sus2,1 - 2 - 5,Csus2,*,21
Octave,1+8,1 - 8,C1+8,*,1E
Perfect fifth,1+5,1 - 5,C1+5,*,1F
(1+♭2+♭3),*,1 - ♭2 - ♭3,C*,*,26
(1+♭2+♭5),*,1 - ♭2 - ♭5,C*,*,27
(1+♭2+5),*,1 - ♭2 - 5,C*,*,28
(1+♭2+♭7),*,1 - ♭2 - ♭7,C*,*,29
(1+2+3),*,1 - 2 - 3,C*,*,2A
(No chord),,1 - ♭2 - 2,,*,22
